1,oval-shaped face, thin neck, rosy skin, black crew-cut hair, green wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, round large attached ears, narrow chin, angular jaw, woman, middle-aged, round glasses, goatee
2,oval-shaped face, thin neck, brown skin, black crew-cut hair, brown wide-set eyes, normal black eyebrows, medium eyelashes, full pink lips, round big nose, round large attached ears, narrow chin, angular jaw, woman, young, no glasses, goatee
3,rectangular face, short neck, rosy skin, blond short hair, brown wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, woman, middle-aged, no glasses, goatee
4,oval-shaped face, thin neck, rosy skin, brown crew-cut hair, green wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, round small attached ears, narrow chin, angular jaw, woman, young, no glasses, goatee
5,oval-shaped face, thin neck, olive skin, black long hair, gray wide-set eyes, normal gray eyebrows, short eyelashes, thin red lips, round small nose, pointed large attached ears, narrow chin, strong jaw, woman, very young, no glasses, sideburns
6,rectangular face, thin neck, rosy skin, brown crew-cut hair, black wide-set eyes, normal white eyebrows, medium eyelashes, thin pink lips, round small nose, round small detached ears, narrow chin, angular jaw, woman, very young, no glasses, goatee
7,rectangular face, thin neck, pale skin, black spiky hair, green deep-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, pointed large detached ears, chiselled chin, strong jaw, boy, young, no glasses, no beard
8,rectangular face, fat neck, ruddy skin, gray crew-cut hair, black upturned eyes, normal white eyebrows, medium eyelashes, full pink lips, high small nose, round small attached ears, narrow chin, angular jaw, man, middle-aged, round glasses, 3 days beard
9,oval-shaped face, short neck, pale skin, brown crew-cut hair, blue wide-set eyes, normal white eyebrows, short eyelashes, thin pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, woman, young, no glasses, goatee
10,rectangular face, short neck, ruddy skin, white crew-cut hair, black wide-set eyes, thin white eyebrows, long eyelashes, full pink lips, long big nose, round small attached ears, chiselled chin, angular jaw, man, very old, no glasses, no beard
11,rectangular face, short neck, brown skin, white crew-cut hair, gray wide-set eyes, thin white eyebrows, short eyelashes, full pink lips, round small nose, round small detached ears, narrow chin, angular jaw, man, very young, oval glasses, unshaven
12,rectangular face, short neck, ruddy skin, gray crew-cut hair, black upturned eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, round large attached ears, wide chin, wide jaw, man, very old, no glasses, unshaven
13,rectangular face, thin neck, creamy skin, black crew-cut hair, brown wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, woman, middle-aged, oval glasses, sideburns
14,oval-shaped face, short neck, ruddy skin, gray side-parting hair, blue wide-set eyes, normal blue eyebrows, medium eyelashes, full pink lips, round small nose, round large detached ears, chiselled chin, sharp jaw, man, very old, no glasses, 3 days beard
15,rectangular face, short neck, ruddy skin, gray crew-cut hair, black wide-set eyes, thin white eyebrows, short eyelashes, full pink lips, round small nose, round large attached ears, strong chin, angular jaw, man, very old, no glasses, no beard
16,rectangular face, fat neck, ruddy skin, white crew-cut hair, red upturned eyes, bushy black eyebrows, medium eyelashes, full red lips, long small nose, round small attached ears, wide chin, angular jaw, man, very old, no glasses, no beard
17,rectangular face, thick neck, ruddy skin, blond bald hair, black wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, round large attached ears, chiselled chin, angular jaw, man, middle-aged, round glasses, unshaven
18,rectangular face, thick neck, light skin, blond crew-cut hair, red wide-set eyes, thin black eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, square chin, strong jaw, boy, young, no glasses, goatee
19,rectangular face, thin neck, ruddy skin, black crew-cut hair, green wide-set eyes, normal white eyebrows, short eyelashes, full pink lips, round small nose, round small attached ears, chiselled chin, angular jaw, man, young, no glasses, unshaven
20,rectangular face, thin neck, ruddy skin, brown side-parting hair, green wide-set eyes, thin brown eyebrows, short eyelashes, full pink lips, round big nose, pointed small attached ears, chiselled chin, angular jaw, man, young, no glasses, no beard
21,rectangular face, slender neck, ruddy skin, gray crew-cut hair, gray round eyes, normal blond eyebrows, long eyelashes, full red lips, round small nose, round small attached ears, round chin, angular jaw, man, young, round glasses, beard
22,oval-shaped face, thin neck, pale skin, brown crew-cut hair, gray wide-set eyes, thin gray eyebrows, short eyelashes, thin pink lips, round big nose, pointed small attached ears, chiselled chin, strong jaw, boy, very young, round glasses, sideburns
23,rectangular face, short neck, ruddy skin, blue dreadlocks hair, black wide-set eyes, normal black eyebrows, short eyelashes, full pink lips, high big nose, round large attached ears, narrow chin, angular jaw, man, very old, no glasses, 3 days beard
24,rectangular face, fat neck, creamy skin, red bald hair, black deep-set eyes, thin white eyebrows, short eyelashes, full pink lips, round big nose, round large attached ears, strong chin, angular jaw, man, very old, no glasses, 3 days beard
25,rectangular face, short neck, olive skin, gray crew-cut hair, red wide-set eyes, bushy black eyebrows, medium eyelashes, full red lips, round small nose, round small attached ears, wide chin, angular jaw, man, young, no glasses, 3 days beard
26,rectangular face, long neck, rosy skin, brown centre parting hair, blue wide-set eyes, thin brown eyebrows, short eyelashes, full pink lips, round small nose, long small attached ears, chiselled chin, strong jaw, boy, very young, no glasses, sideburns
27,rectangular face, short neck, rosy skin, blond side-parting hair, blue wide-set eyes, thin blond eyebrows, short eyelashes, full pink lips, round small nose, round small attached ears, round chin, angular jaw, boy, child, round glasses, sideburns
28,oval-shaped face, thin neck, rosy skin, gray crew-cut hair, black round eyes, normal black eyebrows, medium eyelashes, thin pink lips, round small nose, round large attached ears, narrow chin, angular jaw, boy, child, no glasses, unshaven
29,rectangular face, short neck, rosy skin, white side-parting hair, green wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, upturned small nose, pointed small attached ears, chiselled chin, strong jaw, woman, middle-aged, no glasses, sideburns
30,rectangular face, thin neck, ruddy skin, gray crew-cut hair, red wide-set eyes, thin white eyebrows, short eyelashes, full pink lips, high small nose, round small attached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, unshaven
31,rectangular face, thin neck, ruddy skin, black crew-cut hair, black wide-set eyes, thin black eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, unshaven
32,rectangular face, fat neck, ruddy skin, gray crew-cut hair, black wide-set eyes, normal black eyebrows, short eyelashes, full pink lips, round small nose, round small attached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, unshaven
33,rectangular face, fat neck, ruddy skin, gray side-parting hair, green close-set eyes, normal white eyebrows, medium eyelashes, full pink lips, round small nose, round small attached ears, wide chin, angular jaw, man, middle-aged, no glasses, 3 days beard
35,rectangular face, thin neck, brown skin, black side-parting hair, black close-set eyes, thin black eyebrows, short eyelashes, full pink lips, winged small nose, long small attached ears, chiselled chin, chiselled jaw, man, very old, no glasses, sideburns
36,rectangular face, short neck, creamy skin, gray short hair, red wide-set eyes, thin black eyebrows, medium eyelashes, heart-shaped red lips, round small nose, round small detached ears, narrow chin, strong jaw, woman, middle-aged, oval glasses, sideburns
37,rectangular face, short neck, olive skin, gray crew-cut hair, green wide-set eyes, normal gray eyebrows, medium eyelashes, full pink lips, high small nose, round small attached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, unshaven
38,rectangular face, short neck, light skin, gray crew-cut hair, brown close-set eyes, normal white eyebrows, medium eyelashes, full pink lips, high small nose, round large attached ears, wide chin, wide jaw, man, middle-aged, no glasses, no beard
39,rectangular face, thin neck, rosy skin, blond long hair, green wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, pointed large attached ears, narrow chin, angular jaw, woman, very young, no glasses, beard
40,rectangular face, fat neck, ruddy skin, gray crew-cut hair, brown upturned eyes, normal white eyebrows, short eyelashes, full pink lips, round small nose, round small attached ears, chiselled chin, wide jaw, man, middle-aged, no glasses, unshaven
41,rectangular face, short neck, ruddy skin, gray crew-cut hair, gray close-set eyes, normal gray eyebrows, medium eyelashes, full red lips, high small nose, round large attached ears, narrow chin, strong jaw, man, very old, no glasses, full beard
42,rectangular face, fat neck, ruddy skin, brown crew-cut hair, green upturned eyes, thin black eyebrows, medium eyelashes, full red lips, high small nose, round large detached ears, narrow chin, angular jaw, woman, very old, no glasses, sideburns
43,rectangular face, thick neck, brown skin, gray dreadlocks hair, brown wide-set eyes, normal white eyebrows, medium eyelashes, full pink lips, round big nose, pointed small attached ears, narrow chin, wide jaw, girl, young, no glasses, sideburns
44,rectangular face, thin neck, ruddy skin, black crew-cut hair, black round eyes, thin blue eyebrows, short eyelashes, full pink lips, round small nose, round small detached ears, square chin, angular jaw, boy, very young, no glasses, unshaven
45,rectangular face, fat neck, ruddy skin, gray side-parting hair, red deep-set eyes, bushy white eyebrows, short eyelashes, full pink lips, round small nose, round small detached ears, wide chin, wide jaw, man, middle-aged, no glasses, unshaven
46,rectangular face, short neck, rosy skin, blond crew-cut hair, blue wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, round chin, strong jaw, woman, middle-aged, round glasses, sideburns
47,rectangular face, short neck, ruddy skin, blond crew-cut hair, blue wide-set eyes, thin blond eyebrows, medium eyelashes, full pink lips, round small nose, pointed large attached ears, narrow chin, angular jaw, man, middle-aged, no glasses, 3 days beard
48,oval-shaped face, thin neck, rosy skin, blond side-parting hair, green wide-set eyes, normal blond eyebrows, medium eyelashes, full red lips, winged small nose, pointed small attached ears, chiselled chin, strong jaw, woman, very young, no glasses, sideburns
49,rectangular face, fat neck, ruddy skin, gray crew-cut hair, black close-set eyes, normal white eyebrows, short eyelashes, full pink lips, round big nose, round small attached ears, wide chin, angular jaw, man, very old, no glasses, 3 days beard
50,rectangular face, slender neck, creamy skin, black side-parting hair, red wide-set eyes, thin black eyebrows, medium eyelashes, heart-shaped red lips, round small nose, pointed small detached ears, narrow chin, angular jaw, girl, very old, no glasses, sideburns
51,rectangular face, short neck, ruddy skin, gray side-parting hair, gray close-set eyes, thin gray eyebrows, medium eyelashes, full pink lips, round small nose, round large detached ears, narrow chin, narrow jaw, man, middle-aged, round glasses, no beard
52,rectangular face, thin neck, ruddy skin, white bald hair, black wide-set eyes, normal black eyebrows, medium eyelashes, full pink lips, high small nose, round small attached ears, narrow chin, angular jaw, man, very old, oval glasses, goatee
53,rectangular face, thick neck, light skin, black crew-cut hair, gray round eyes, normal black eyebrows, medium eyelashes, full pink lips, round big nose, round large detached ears, square chin, strong jaw, boy, very old, no glasses, no beard
54,rectangular face, thin neck, ruddy skin, blond crew-cut hair, blue wide-set eyes, normal blond eyebrows, short eyelashes, full pink lips, round small nose, pointed small attached ears, chiselled chin, strong jaw, boy, very young, no glasses, no beard
55,rectangular face, short neck, creamy skin, gray side-parting hair, gray deep-set eyes, normal white eyebrows, medium eyelashes, full pink lips, high small nose, round small detached ears, narrow chin, angular jaw, man, young, no glasses, 3 days beard
56,rectangular face, short neck, pale skin, brown side-parting hair, green wide-set eyes, bushy red eyebrows, short eyelashes, full red lips, round small nose, pointed small attached ears, strong chin, strong jaw, woman, child, no glasses, sideburns
57,rectangular face, short neck, ruddy skin, gray centre parting hair, green wide-set eyes, normal brown eyebrows, medium eyelashes, full red lips, high small nose, pointed small attached ears, chiselled chin, chiselled jaw, man, middle-aged, no glasses, unshaven
58,round face, short neck, rosy skin, blond side-parting hair, green wide-set eyes, normal blue eyebrows, short eyelashes, full red lips, round small nose, pointed small attached ears, strong chin, strong jaw, woman, young, no glasses, sideburns
59,oval-shaped face, thick neck, olive skin, brown side-parting hair, brown wide-set eyes, thin brown eyebrows, short eyelashes, full red lips, round small nose, pointed small attached ears, chiselled chin, sharp jaw, woman, very old, no glasses, sideburns
60,rectangular face, thin neck, ruddy skin, white bald hair, black wide-set eyes, normal white eyebrows, short eyelashes, full pink lips, round big nose, pointed large attached ears, chiselled chin, angular jaw, man, very old, no glasses, sideburns
61,rectangular face, short neck, brown skin, white dreadlocks hair, brown round eyes, normal black eyebrows, medium eyelashes, full pink lips, round small nose, round small attached ears, pointed chin, narrow jaw, boy, child, no glasses, no beard
62,rectangular face, short neck, ruddy skin, gray crew-cut hair, green wide-set eyes, normal white eyebrows, medium eyelashes, full pink lips, round big nose, round large attached ears, narrow chin, angular jaw, man, very old, no glasses, no beard
63,rectangular face, fat neck, creamy skin, blond curly hair, black wide-set eyes, bushy blond eyebrows, short eyelashes, full pink lips, high small nose, round small attached ears, wide chin, angular jaw, boy, child, square glasses, goatee
64,rectangular face, short neck, olive skin, brown crew-cut hair, brown wide-set eyes, normal white eyebrows, medium eyelashes, full red lips, high small nose, round large detached ears, narrow chin, narrow jaw, woman, young, no glasses, beard
65,rectangular face, fat neck, ruddy skin, gray side-parting hair, red upturned eyes, thin blond eyebrows, medium eyelashes, full pink lips, upturned small nose, round large attached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, unshaven
66,rectangular face, fat neck, ruddy skin, red crew-cut hair, black close-set eyes, bushy blond eyebrows, medium eyelashes, full pink lips, round big nose, round large attached ears, wide chin, angular jaw, boy, young, no glasses, no beard
67,round face, thin neck, pale skin, black crew-cut hair, black upturned eyes, bushy white eyebrows, long eyelashes, thin pink lips, round small nose, pointed small attached ears, strong chin, strong jaw, boy, young, no glasses, sideburns
68,rectangular face, short neck, rosy skin, blond short hair, black wide-set eyes, normal blond eyebrows, medium eyelashes, full red lips, long small nose, round large detached ears, narrow chin, angular jaw, woman, young, no glasses, mustache
69,rectangular face, slender neck, ruddy skin, blond crew-cut hair, gray wide-set eyes, normal black eyebrows, long eyelashes, full pink lips, round big nose, pointed small attached ears, chiselled chin, sharp jaw, boy, young, no glasses, sideburns
70,rectangular face, short neck, ruddy skin, brown centre parting hair, blue close-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, high small nose, round large attached ears, wide chin, wide jaw, boy, young, no glasses, 3 days beard
71,rectangular face, short neck, pale skin, black crew-cut hair, black wide-set eyes, normal black eyebrows, medium eyelashes, full red lips, high small nose, pointed large detached ears, narrow chin, angular jaw, woman, young, no glasses, goatee
72,rectangular face, slender neck, creamy skin, blond side-parting hair, red wide-set eyes, thin blond eyebrows, medium eyelashes, heart-shaped red lips, round small nose, round small detached ears, narrow chin, angular jaw, woman, very old, oval glasses, goatee
73,oval-shaped face, thin neck, pale skin, blond crew-cut hair, blue wide-set eyes, thin black eyebrows, short eyelashes, full red lips, long small nose, pointed small attached ears, chiselled chin, angular jaw, boy, very young, no glasses, sideburns
74,rectangular face, thin neck, ruddy skin, brown curly hair, blue wide-set eyes, bushy blond eyebrows, short eyelashes, full pink lips, round big nose, pointed small attached ears, chiselled chin, angular jaw, boy, young, no glasses, sideburns
75,rectangular face, short neck, ruddy skin, gray crew-cut hair, black wide-set eyes, normal white eyebrows, medium eyelashes, full pink lips, round small nose, round small attached ears, narrow chin, angular jaw, man, very old, no glasses, unshaven
76,oval-shaped face, short neck, olive skin, brown crew-cut hair, brown wide-set eyes, thin gray eyebrows, long eyelashes, full red lips, round small nose, pointed small attached ears, pointed chin, strong jaw, woman, very young, no glasses, sideburns
77,rectangular face, short neck, ruddy skin, blue crew-cut hair, black upturned eyes, bushy blue eyebrows, short eyelashes, thin red lips, upturned small nose, pointed small attached ears, strong chin, strong jaw, woman, very old, no glasses, sideburns
78,rectangular face, short neck, ruddy skin, blond side-parting hair, black round eyes, thin blond eyebrows, long eyelashes, full pink lips, round small nose, round small attached ears, pointed chin, angular jaw, boy, middle-aged, no glasses, goatee
79,rectangular face, short neck, ruddy skin, blond side-parting hair, red wide-set eyes, normal brown eyebrows, short eyelashes, heart-shaped pink lips, round small nose, round small detached ears, chiselled chin, wide jaw, man, young, no glasses, goatee
80,rectangular face, fat neck, rosy skin, black side-parting hair, red round eyes, normal black eyebrows, medium eyelashes, full pink lips, high small nose, round small attached ears, narrow chin, angular jaw, man, very old, sun-glasses, 3 days beard
81,rectangular face, fat neck, ruddy skin, gray crew-cut hair, black upturned eyes, normal black eyebrows, medium eyelashes, full red lips, upturned small nose, pointed small attached ears, chiselled chin, angular jaw, man, very old, no glasses, no beard
82,rectangular face, short neck, rosy skin, brown crew-cut hair, black close-set eyes, normal blond eyebrows, medium eyelashes, full red lips, round small nose, round large attached ears, narrow chin, angular jaw, woman, young, no glasses, sideburns
83,rectangular face, fat neck, ruddy skin, gray side-parting hair, gray close-set eyes, normal blond eyebrows, medium eyelashes, full red lips, high big nose, round large attached ears, round chin, wide jaw, woman, very old, no glasses, beard
84,rectangular face, short neck, ruddy skin, blond side-parting hair, blue close-set eyes, thin blond eyebrows, medium eyelashes, full pink lips, upturned small nose, pointed small attached ears, pointed chin, wide jaw, woman, middle-aged, no glasses, unshaven
85,rectangular face, short neck, pale skin, white crew-cut hair, blue close-set eyes, normal white eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, square chin, angular jaw, man, young, no glasses, no beard
86,rectangular face, short neck, ruddy skin, gray crew-cut hair, green close-set eyes, normal white eyebrows, medium eyelashes, full pink lips, upturned small nose, round large attached ears, wide chin, narrow jaw, man, middle-aged, round glasses, unshaven
87,rectangular face, short neck, pale skin, red centre parting hair, green wide-set eyes, normal blond eyebrows, medium eyelashes, full red lips, round small nose, pointed large detached ears, pointed chin, wide jaw, woman, middle-aged, no glasses, beard
88,rectangular face, fat neck, ruddy skin, black side-parting hair, black wide-set eyes, thin white eyebrows, short eyelashes, full pink lips, round small nose, round small detached ears, wide chin, angular jaw, man, middle-aged, oval glasses, sideburns
89,rectangular face, thin neck, pale skin, gray bald hair, gray wide-set eyes, normal gray eyebrows, short eyelashes, full red lips, upturned big nose, pointed large detached ears, chiselled chin, angular jaw, man, very old, no glasses, unshaven
90,oval-shaped face, short neck, rosy skin, brown long hair, brown wide-set eyes, normal brown eyebrows, medium eyelashes, full red lips, winged small nose, pointed large attached ears, narrow chin, wide jaw, woman, very old, no glasses, goatee
91,rectangular face, short neck, rosy skin, black crew-cut hair, brown close-set eyes, normal red eyebrows, medium eyelashes, full red lips, round small nose, pointed large detached ears, wide chin, strong jaw, woman, young, no glasses, sideburns
92,rectangular face, fat neck, ruddy skin, gray side-parting hair, red close-set eyes, normal white eyebrows, medium eyelashes, full red lips, upturned small nose, round small attached ears, narrow chin, wide jaw, man, middle-aged, no glasses, no beard
93,rectangular face, thin neck, ruddy skin, gray crew-cut hair, black upturned eyes, thin black eyebrows, medium eyelashes, full red lips, round small nose, round large attached ears, chiselled chin, wide jaw, man, middle-aged, no glasses, unshaven
94,rectangular face, short neck, ruddy skin, gray crew-cut hair, red close-set eyes, thin white eyebrows, medium eyelashes, full pink lips, upturned small nose, round large attached ears, narrow chin, angular jaw, man, middle-aged, no glasses, no beard
95,rectangular face, long neck, pale skin, gray bald hair, black upturned eyes, thin white eyebrows, short eyelashes, full pink lips, round big nose, round large attached ears, chiselled chin, wide jaw, man, middle-aged, no glasses, unshaven
96,rectangular face, thin neck, ruddy skin, gray bald hair, black upturned eyes, thin white eyebrows, medium eyelashes, full pink lips, round big nose, round large attached ears, narrow chin, angular jaw, man, very old, round glasses, no beard
97,rectangular face, slender neck, pale skin, red side-parting hair, black close-set eyes, normal red eyebrows, medium eyelashes, full red lips, upturned small nose, pointed small attached ears, pointed chin, wide jaw, woman, child, no glasses, sideburns
98,rectangular face, fat neck, pale skin, brown crew-cut hair, black close-set eyes, normal blond eyebrows, medium eyelashes, thin red lips, round small nose, round large detached ears, narrow chin, angular jaw, woman, young, no glasses, sideburns
99,rectangular face, short neck, ruddy skin, black crew-cut hair, blue upturned eyes, normal black eyebrows, medium eyelashes, full red lips, round small nose, pointed large attached ears, narrow chin, angular jaw, woman, middle-aged, round glasses, sideburns
